NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
100,Rumah baru lux furnish di kawasan elit tebet jakarta selatan,"0,6406","0,7404","0,4056","0,3750","0,4444","0,4444"
101,Rumah Baru Di Tebet,"0,1328","0,2606","0,1382","0,2500","0,2222","0,1111"
102,Rumah siap huni baru di tebet jakarta selatan,"0,0469","0,1195","0,0639","0,2500","0,3333","0,1111"
103,"Di Kebun Baru Rumah Terawat, Area Strategis","0,0469","0,0715","0,1308","0,2500","0,3333","0,0000"
104,Di jual Rumah Cantik Bangunan 2 Lantai di Tebet,"0,0938","0,3170","0,1694","0,7500","0,3333","0,2222"
105,Rumah Tua di Tebet,"0,0551","0,0348","0,0795","0,2500","0,1111","0,0000"
106,Di Jual Cepat Rumah Mewah Konsep Minimalis Modern Di Tebet Jak Sel,"0,3750","0,3970","0,3685","0,3750","0,5556","0,1111"
107,Rumah Huni Di Kawasan Utama Tebet,"0,2953","0,2662","0,2942","0,3750","0,4444","0,1111"
108,Rumah Lama Jalan Lebar,"0,2188","0,3170","0,3893","0,5000","0,2222","0,1111"
109,Tebet Rumah Harga Menarik Jalan Dua Mobil Dekat Kasan Kuliner Tebet,"0,0406","0,1007","0,0684","0,1250","0,2222","0,0000"
110,"Dijual Rumah Cantik Murah Siap Huni Di Tebet Timur, Tebet Jakarta Selatan","0,0461","0,1289","0,0698","0,2500","0,2222","0,0000"
111,Dijual Rumah Brand New di Jl Tebet Timur Dalam,"0,0453","0,1289","0,0565","0,1250","0,1111","0,1111"
112,"TEBET - Siap Huni di Jalan 1 Mobil, Bagus","0,0445","0,1627","0,0617","0,2500","0,2222","0,1111"
113,Dijual Rumah Lokasi Sangat Strategis,"0,1281","0,3641","0,4762","0,7500","0,5556","0,1111"
114,"TEBET Akses 3 Mobil, Rumah Siap Huni","0,0773","0,1477","0,1085","0,1250","0,2222","0,1111"
115,Dijual Cepat rumah di Bukit Duri Tebet SHM,"0,1016","0,4111","0,1679","0,2500","0,3333","0,0000"
116,Dijual Rumah Tebet Timur Lokasi Premium Nyaman Dekat Taman Honda Jalan 1 Mobil,"0,0328","0,1289","0,0364","0,1250","0,2222","0,0000"
117,Dijual Rumah Second Siap Huni Strategis di Tebet Jaksel,"0,0938","0,3170","0,0951","0,2500","0,2222","0,1111"
118,Rumah Tua Hitung Tanah di menteng Dalam Tebet,"0,3750","0,4581","0,5840","0,3750","0,2222","0,5556"
119,Dijual Rumah di Tebet,"0,1563","0,2041","0,2155","0,1250","0,2222","0,1111"
120,Rumah baru siap huni di tebet jakarta selatan,"0,0523","0,1101","0,0579","0,2500","0,2222","0,1111"
121,"Rumah Di Asem Baris, Tebet","0,3750","0,2747","0,7541","0,3750","0,3333","0,3333"
122,Rumah Cantik Menawan Siap Huni Di Tebet Timur Jakarta Selatan,"0,0516","0,1759","0,0750","0,3750","0,2222","0,1111"
123,TEBET Rumah Mewah Siap Huni Lingkungan Aman dan Nyaman,"0,1219","0,3170","0,1308","0,5000","0,5556","0,1111"
124,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta","0,1875","0,1439","0,2452","0,1250","0,2222","0,1111"
125,Di Jual Rumah Brand New Di Tebet,"0,0578","0,1759","0,0713","0,2500","0,2222","0,1111"
126,TEBET Rumah Baru Siap Huni Jalan Dua Mobil Lebar Dekat Jalan Raya,"0,0969","0,1759","0,0795","0,1250","0,2222","0,1111"
127,"Dijual Cepat Rumah Minimalis Modern siap huni Di Kebon Baru, Tebet Jakarta Selatan","0,0391","0,1214","0,0490","0,3750","0,3333","0,1111"
128,TEBET Rumah Mewah dan Terawat Lokasi Premium Akses Mudah Jalan Tiga Mobil,"0,1078","0,2982","0,1270","0,3750","0,2222","0,1111"
129,"TEBET MENTENG DALAM - Rumah Cantik, Minimalis, SHM","0,0281","0,0818","0,0364","0,1250","0,2222","0,1111"
130,TEBET DALAM - Rumah Brand New Minimalis SHM,"0,0250","0,0630","0,0156","0,1250","0,2222","0,0000"
131,"Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil","0,0766","0,1759","0,1100","0,3750","0,3333","0,1111"
132,Rumah Tebet Timur Hitung Tanah 338m2,"0,0914","0,1468","0,2110","0,3750","0,2222","0,2222"
133,"Rumah Baru, Di Asembaris, Kebon Baru Tebet, Jakarta Selatan","0,0547","0,2465","0,1278","0,5000","0,3333","0,0000"
134,Rumah Layak Huni Di Tebet Jual Cpt Jalan 1 Mobil 30m Dari Jln Besar,"0,0250","0,0536","0,0713","0,1250","0,1111","0,0000"
135,Rumah Baru Renovasi Siap Huni Teebet (Best Price),"0,0312","0,0724","0,0639","0,3750","0,2222","0,0000"
136,Rumah Cantik Brand New 3 lantai siap huni,"0,0625","0,1101","0,0542","0,3750","0,3333","0,1111"
137,Rumah hoek di Tebet Barat,"0,0469","0,1289","0,0602","0,6250","0,3333","0,1111"
138,Rumah brand new siap huni di Tebet Timur,"0,0391","0,0818","0,0431","0,2500","0,3333","0,0000"
139,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan","0,0797","0,2935","0,0565","0,3750","0,3333","0,2222"
140,Rumah Super Mewah Tebet Jakarta Selatan Harga Siap Nego,"0,4531","0,6933","0,3299","0,3750","0,4444","0,4444"
141,Rumah Siap Huni di Jl. Tebet Utara,"0,0859","0,1759","0,0944","0,7500","0,3333","0,1111"
142,Rumah Minimalis Tebet Dekat Jalan 2 Mobil,"0,0430","0,0818","0,0431","0,1250","0,4444","0,1111"
143,"Rumah Minimalis Tebet 2 Lantai Dekat Pusat Bisnis Tebet, Jaksel","0,0828","0,1289","0,0587","0,2500","0,2222","0,1111"
144,Rumah Siap Huni Dalam Komplek Nyaman Tebet-Jakarta Selatan,"0,2188","0,3923","0,2474","0,2500","0,3333","0,2222"
145,"Rumah Minimalis Tebet 90 Meter, Dekat Jalan 2 Mobil","0,0258","0,0583","0,0267","0,1250","0,3333","0,1111"
146,"Rumah Siap Huni Dengan Luas Tanah 360 Meter Jalan Lebar, Bebas Banjir Tebet-Jakarta Selatan","0,2734","0,6933","0,2273","0,3750","0,6667","0,4444"
147,Rumah Mediterania Jalan Lebar Lokasi Strategis Tebet Jakarta Selatan,"0,2109","0,4111","0,1880","0,1250","0,3333","0,1111"
148,"Rumah Cantik Siap Huni Jalan Lebar Di Kawasan Premium Tebet, Jaksel","0,1211","0,2700","0,1100","0,2500","0,4444","0,2222"
149,"Rumah Siap Huni Jalan 2 Mobil, Jarang Ada, Sertifikat Hak Milik","0,0750","0,1289","0,0624","0,3750","0,3333","0,1111"
